Denumirea străzii;Numerele caselor;Codul  poştal
Mihail Lermontov;toate;MD-2070
Str-la Mihail Lermontov;toate;MD-2070
Petru Leşcenco;toate;MD-2045
Str-la Petru Leşcenco;toate;MD-2045
Leuşeni;toate;MD-2002
Liliacului;toate;MD-2059
Dinu Lipatti;toate;MD-2002
Str-la Dinu Lipatti;toate;MD-2002
Lipcani;toate;MD-2051
Str-la Lipcani;toate;MD-2051
Lisabona;toate;MD-2064
Livădarilor;1-185;MD-2028
Livădarilor;187 sf.;MD-2019
Ioan Livescu;toate;MD-2064
Mihail Lomonosov;1-47, 2-26;MD-2009
Mihail Lomonosov;49,51, 38-42;MD-2028
Mihail Lomonosov;4/9, 49/1-49/18, 51/1-65/3;MD-2025
Emil Loteanu;toate;MD-2045
Serghei Lunchevici;toate;MD-2051
Ştefan Luchian;toate;MD-2008
Lunca Bîcului;29,33/1,33/2,33/3;MD-2023
Luncii;toate;MD-2024
Andrei Lupan;toate;MD-2059
Voluntar Filip Lupaşcu;toate;MD-2049
Luceafărul;toate;MD-2011
Str-la Luceafărul; 3-13;MD-2011
Vasile Lupu;toate;MD-2008
Lvov;toate;MD-2060
Str-la Lvov 1;toate;MD-2060
str-la Lvov  2;toate;MD-2060
Str-la Lvov 3;toate;MD-2060
Str-la Lvov 4;toate;MD-2060
Str-la Lvov 6;toate;MD-2060
Măcieşilor;toate;MD-2028
Macilor;toate;MD-2024
Gheorghe Madan;1-43, 2-12;MD-2059
Gheorghe Madan;14-52, 47-87;MD-2020
Vladimir Maiacovski;toate;MD-2023
Petru Maior;toate;MD-2005
Titu Maiorescu;toate;MD-2001
Teodor Malai;toate;MD-2070
Gheorghe Malarciuc;toate;MD-2009
Maramureş;toate;MD-2043
Alexandru Marinescu;1-19,  2-36;MD-2051
8 Martie;toate;MD-2059
27 Martie 1918;toate;MD-2069
Alexei Mateevici; 13-15, 32-36, 36a;MD-2012
Alexei Mateevici;21-sf, 38-sf;MD-2009
Alexei Mateevici;5-11, 2-30;MD-2001
Matei Milo;toate;MD-2043
Mazililor;toate;MD-2038
