Tip;calificativ;Denumirea străzii;Numerele caselor;Codul  poştal
Strada;;Mihai Eminescu;15-sf, 18-sf;MD-2012
Strada;;Mihai Eminescu(Codru);toate;MD-2019
Strada;;George Enescu;15-19, 2-22;MD-2064
Strada;;George Enescu;24-sf., 21-sf.;MD-2008
Strada;;Pantelimon Erhan;toate;MD-2002
Strada;;Eroii Neamului;toate;MD-2075
Strada;;Fantalului;toate;MD-2005
Strada;;Făureşti;toate;MD-2023
Strada;;Fecioarei;toate;MD-2070
Strada;;Feredeului;toate;MD-2005
Strada;;Fierarilor;toate;MD-2001
Strada;;Fîntînilor;1-sf., 2-sf.;MD-2038
Strada;;Florării;toate;MD-2024
Strada;;Floreni;toate;MD-2023
Strada;;Floreşti;toate;MD-2051
Strada;;Florile Dalbe;toate;MD-2069
Strada;;Florilor;toate;MD-2068
Strada;;Focşani;toate;MD-2028
Strada;;Fraţii Apostol;toate;MD-2025
Strada;;Frumoasa;1-41, 2-48;MD-2009
Strada;;Frumoasa;43-sf, 50-sf;MD-2021
Strada;;Frumuşica;toate;MD-2002
Strada;;Galaţi;toate;MD-2028
Strada;;Galbena;toate;MD-2009
Strada;;Ion Ganea;toate;MD-2009
Strada;;Garoafelor;toate;MD-2070
Strada;;Gării;toate;MD-2001
Strada;;Ilie Geamănă;toate;MD-2009
Strada;Academician;Natalia Gheorghiu;toate;MD-2025
Strada;;Dumitru Gheorghiţă;toate;MD-2045
Strada;;Onisifor Ghibu;1-sf,;MD-2051
Strada;;Onisifor Ghibu;2 -sf.;MD-2071
Strada;;Ghica -Vodă;toate;MD-2072
Strada;;Gheorghe Ghimpu ;toate;MD-2075
Strada;;Ghioceilor;toate;MD-2008
Strada;;Ginta Latină;toate;MD-2044
Strada;;Gîrlei;2-4;MD-2038
Strada;;Gliei;2-sf., 1-sf.;MD-2011
Strada;;Gîrliţei;toate;MD-2001
Strada;;Gohberg;toate;MD-2019
Strada;;Octavian Goga;1-7, 2-8;MD-2001
Strada;;Octavian Goga;9-sf., 10-sf.;MD-2005
Strada;;Golia;toate;MD-2069
Strada;;C.Gohberg;toate;MD-2019
Strada;;Paul Gore;toate;MD-2002
Strada;;Nicolae Grădescu;toate;MD-2002
Strada;;Grădinarilor;toate;MD-2059
Strada;;Grădinilor;60;MD-2005
Strada;;Grădinilor;21-25, 56-58;MD-2001
Strada;;Grădinilor;60;MD-2005
Strada;;Grădina Botanica;12, 14/2, 14/3, 15;MD-2032
Strada;;Grădina Botanica;2-4,  5 - 9,  9/1,;MD-2002
Strada;;Grădina Botanica;19-29,   26,-28;MD-2023
Strada;;Grătieşti;toate;MD-2020
Strada;;Pictor Mihai Grecu .;toate;MD-2025
Strada;;Mihai Grebencea;toate;MD-2002
Strada;;Grenoble;1, 3, 5, 7;MD-2028
Strada;;Grenoble;17-,37, 111, 131.;MD-2025
Strada;;Grenoble;132, 193, 199;MD-2043
Strada;;Grenoble;134-136, 176, 180-196-sf.;MD-2072
Strada;;Grenoble;257-287;MD-2072
Strada;;Grenoble;106-130,;MD-2019
Strada;;Grenoble;147-191,;MD-2019
Strada;;Grenoble;203-209;MD-2060
Strada;;Nicolae Grigorescu;toate;MD-2023
Strada;;Griviţei;1-sf, 2-sf;MD-2028
Strada;;Grîului;toate;MD-2008
Strada;;Grînelor;toate;MD-2011
Strada;Academician;I. Grosul;toate;MD-2028
Strada;;Gura Văii;toate;MD-2049
Strada;;Gutuilor;toate;MD-2011
Strada;;Valentin Guţu;toate;MD-2025
Strada;;Habad Liubavici;toate;MD-2012
Strada;;Haiducilor;toate;MD-2028
Strada;;Haiducul Bujor;toate;MD-2044
Strada;;Pantelimon Halippa;toate;MD-2009
Strada;;Haltei;toate;MD-2023
Strada;;Hanul Morii;toate;MD-2002
Strada;;Vasilie Harea;toate;MD-2049
Strada;;Bogdan Petriceicu Haşdeu;toate;MD-2005
